,avg_ratings,all_ratings,actual_price,with_discount,reviews
417,4.2,861 Ratings,"₹11,999","₹9,499", 29 Reviews
418,4.3,"1,75,681 Ratings",,"₹13,199"," 21,801 Reviews"
419,4.3,"67,218 Ratings","₹7,999","₹6,499"," 4,219 Reviews"
420,4.1,"1,681 Ratings","₹12,999","₹10,580", 62 Reviews
421,4.3,"1,752 Ratings","₹15,999","₹9,499", 78 Reviews
422,4.3,"2,11,905 Ratings",,"₹17,600"," 26,024 Reviews"
423,4.2,861 Ratings,"₹11,999","₹8,999", 29 Reviews
424,4.3,"52,073 Ratings","₹13,999","₹10,999"," 5,345 Reviews"
425,4.3,"1,752 Ratings","₹15,999","₹9,499", 78 Reviews
426,4.3,"2,11,905 Ratings","₹20,499","₹17,199"," 26,024 Reviews"
427,4.3,"67,218 Ratings","₹7,999","₹6,499"," 4,219 Reviews"
428,4.3,"8,975 Ratings",,"₹28,831"," 1,393 Reviews"
429,4.2,"12,865 Ratings","₹7,999","₹5,999", 950 Reviews
430,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
431,3.9,"29,781 Ratings","₹8,999","₹5,799"," 1,400 Reviews"
432,3.2,112 Ratings,"₹7,999","₹5,899", 4 Reviews
433,4.4,"13,487 Ratings",,"₹34,990"," 1,321 Reviews"
434,4.4,"13,487 Ratings",,"₹34,990"," 1,321 Reviews"
435,3.8,21 Ratings,"₹8,399","₹7,950", 3 Reviews
436,4.3,"2,011 Ratings","₹11,999","₹7,999", 68 Reviews
437,3.4,55 Ratings,,"₹6,999", 8 Reviews
438,3.4,55 Ratings,,"₹6,999", 8 Reviews
439,4.2,153 Ratings,"₹16,499","₹12,999", 5 Reviews
440,4.2,153 Ratings,"₹16,499","₹12,999", 5 Reviews
441,4.3,"2,11,905 Ratings",,"₹17,600"," 26,024 Reviews"
442,4.3,"2,11,905 Ratings","₹20,499","₹17,199"," 26,024 Reviews"
443,4.5,"8,595 Ratings",,"₹27,990", 763 Reviews
444,4.2,"12,865 Ratings","₹7,999","₹5,999", 950 Reviews
445,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
446,3.9,"29,781 Ratings","₹8,999","₹5,799"," 1,400 Reviews"
447,4.2,"12,865 Ratings","₹7,999","₹5,999", 950 Reviews
448,3.9,927 Ratings,"₹9,999","₹6,999", 73 Reviews
449,3.9,927 Ratings,"₹9,999","₹6,999", 73 Reviews
450,4.2,"12,865 Ratings","₹7,999","₹5,999", 950 Reviews
451,3.9,927 Ratings,"₹9,999","₹6,999", 73 Reviews
452,3.9,"29,781 Ratings","₹8,999","₹5,799"," 1,400 Reviews"
453,4.1,"11,243 Ratings","₹9,999","₹5,999", 482 Reviews
454,4.2,"2,607 Ratings","₹9,999","₹7,499", 145 Reviews
455,4.2,"12,865 Ratings","₹7,999","₹5,999", 950 Reviews
456,4.2,"1,109 Ratings","₹10,999","₹9,990", 51 Reviews
457,4.1,852 Ratings,"₹24,999","₹15,399", 95 Reviews
458,4.2,"1,109 Ratings","₹12,999","₹8,999", 51 Reviews
459,4.2,"1,109 Ratings","₹13,999","₹9,999", 51 Reviews
460,4.2,"1,109 Ratings","₹12,999","₹8,999", 51 Reviews
461,4.2,633 Ratings,"₹17,999","₹11,993", 39 Reviews
462,4,134 Ratings,"₹24,999","₹15,999", 11 Reviews
463,4.1,852 Ratings,"₹25,999","₹16,499", 95 Reviews
464,4.2,"5,428 Ratings","₹24,999","₹17,999", 611 Reviews
465,4.2,633 Ratings,"₹17,999","₹12,999", 39 Reviews
466,4.1,"9,330 Ratings","₹19,999","₹15,999", 753 Reviews
467,4.2,633 Ratings,"₹17,999","₹14,999", 39 Reviews
468,4.2,"5,428 Ratings","₹24,999","₹17,999", 611 Reviews
469,4.2,"5,428 Ratings","₹24,999","₹17,999", 611 Reviews
470,4.1,"9,330 Ratings","₹19,999","₹15,321", 753 Reviews
471,4.1,"9,330 Ratings","₹19,999","₹15,321", 753 Reviews
472,4.1,"9,782 Ratings","₹34,999","₹19,398"," 1,376 Reviews"
